source_code,source_name,target_code,target_name,weight
i40.11.b,Production of electricity by gas,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.11.c,Production of electricity by nuclear,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.11.d,Production of electricity by hydro,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.11.e,Production of electricity by wind,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.11.f,Production of electricity by petroleum and other oil derivatives,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.11.g,Production of electricity by biomass and waste,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.11.h,Production of electricity by solar photovoltaic,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.11.i,Production of electricity by solar thermal,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.11.j,"Production of electricity by tide, wave, ocean",,"Electricity, gas, steam and hot water supply (40)",1.0
i40.11.k,Production of electricity by Geothermal,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.11.l,Production of electricity nec,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.12,Transmission of electricity,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.13,Distribution and trade of electricity,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.2,Manufacture of gas; distribution of gaseous fuels through mains,,"Electricity, gas, steam and hot water supply (40)",1.0
i40.3,Steam and hot water supply,,"Electricity, gas, steam and hot water supply (40)",1.0
i41,"Collection, purification and distribution of water (41)",,"Collection, purification and distribution of water (41)",1.0
i45,Construction (45),,Construction (45),1.0
i45.w,Re-processing of secondary construction material into aggregates,,Construction (45),1.0
i50.a,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",,"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale services of automotive fuel (50)",1.0
i50.b,Retail sale of automotive fuel,,"Sale, maintenance and repair of motor vehicles and motorcycles; retail sale services of automotive fuel (50)",1.0
i51,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",1.0
i52,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",1.0
i55,Hotels and restaurants (55),,Hotels and restaurants (55),1.0
i60.1,Transport via railways,,Land transport; transport via pipelines (60),1.0
i60.2,Other land transport,,Land transport; transport via pipelines (60),1.0
i60.3,Transport via pipelines,,Land transport; transport via pipelines (60),1.0
i61.1,Sea and coastal water transport,,Water transport (61),1.0
i61.2,Inland water transport,,Water transport (61),1.0
i62,Air transport (62),,Air transport (62),1.0
i63,Supporting and auxiliary transport activities; activities of travel agencies (63),,Supporting and auxiliary transport activities; activities of travel agencies (63),1.0
i64,Post and telecommunications (64),,Post and telecommunications (64),1.0
i65,"Financial intermediation, except insurance and pension funding (65)",,"Financial intermediation, except insurance and pension funding (65)",1.0
i66,"Insurance and pension funding, except compulsory social security (66)",,"Insurance and pension funding, except compulsory social security (66)",1.0
i67,Activities auxiliary to financial intermediation (67),,Activities auxiliary to financial intermediation (67),1.0
i70,Real estate activities (70),,Real estate activities (70),1.0
i71,Renting of machinery and equipment without operator and of personal and household goods (71),,Renting of machinery and equipment without operator and of personal and household goods (71),1.0
i72,Computer and related activities (72),,Computer and related activities (72),1.0
i73,Research and development (73),,Research and development (73),1.0
i74,Other business activities (74),,Other business activities (74),1.0
i75,Public administration and defence; compulsory social security (75),,Public administration and defence; compulsory social security (75),1.0
i80,Education (80),,Education (80),1.0
i85,Health and social work (85),,Health and social work (85),1.0
i90.1.a,Incineration of waste: Food,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.1.b,Incineration of waste: Paper,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
i90.1.c,Incineration of waste: Plastic,,"Sewage and refuse disposal, sanitation and similar activities (90)",1.0
